,price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone
54,375000,496,196,4,3,0,3,1,0,Nordelta
55,1360000,1250,400,7,7,0,4,1,10,Nordelta
56,589000,696,221,5,4,0,3,1,0,Nordelta
57,680000,1018,245,4,3,0,3,1,10,Nordelta
58,620000,704,224,5,3,0,4,1,7,Nordelta
59,345000,804,210,0,3,0,3,1,2,Villanueva
60,890000,991,338,6,5,0,4,1,2,GeneralPacheco
61,1600000,1210,502,0,7,0,4,0,5,Nordelta
62,290000,135,135,6,2,1,3,1,20,VicenteLópez
63,690000,464,283,7,3,1,3,0,40,CapitalFederal
64,495000,188,130,4,4,1,3,1,7,CapitalFederal
65,365000,600,175,4,2,0,3,0,3,Pilar
66,790000,1073,400,6,4,1,5,0,20,SanIsidro
67,345000,185,185,6,2,1,3,1,40,SanIsidro
68,420000,480,196,4,3,0,3,1,0,Nordelta
69,1050000,1500,450,5,5,1,4,0,5,Nordelta
70,420000,803,230,6,3,0,3,1,0,Villanueva
71,490000,600,357,7,3,0,4,0,40,VicenteLópez
72,425000,554,213,5,3,0,3,1,2,Nordelta
73,990000,1112,471,8,4,0,4,1,7,Nordelta
74,440000,434,417,9,4,0,4,0,25,SantaFe
75,298000,240,165,7,2,0,3,1,30,SanIsidro
76,490000,550,210,5,3,0,3,1,0,Nordelta
77,500000,300,300,4,4,0,3,0,8,Córdoba
78,640000,311,260,6,3,1,3,1,1,CapitalFederal
79,1650000,1093,510,10,5,1,4,1,5,Nordelta
80,1380000,869,430,7,5,0,4,0,7,Nordelta
81,670000,1160,290,7,3,0,3,1,5,RincóndeMilberg
82,236000,144,138,5,3,0,3,1,35,VicenteLópez
83,390000,295,186,4,3,0,3,0,35,SanIsidro
84,595000,301,296,5,4,0,4,0,15,CapitalFederal
85,795000,726,426,0,2,0,4,0,37,SanIsidro
86,440000,272,260,6,3,0,4,0,15,SanIsidro
87,550000,710,280,5,3,1,4,1,16,Nordelta
88,740000,800,310,6,4,1,3,1,11,Nordelta
89,1285000,1800,330,6,2,0,3,1,30,ManuelAlberti
90,495000,670,253,6,4,0,3,1,8,Nordelta
91,780000,693,330,5,3,0,3,1,0,Nordelta
92,265000,130,105,5,2,1,3,1,40,CapitalFederal
93,590000,567,243,6,2,0,3,1,0,Nordelta
94,1990000,1034,621,7,8,0,4,1,0,Nordelta
95,2150000,600,600,9,3,0,4,1,25,VicenteLópez
96,890000,1251,532,7,6,0,4,1,6,Nordelta
97,680000,815,280,5,3,0,4,1,0,ElTalardePacheco
98,75000,415,115,3,2,1,2,0,40,FlorencioVarela
99,550000,680,300,6,4,0,4,1,10,SanIsidro
100,570000,634,246,0,3,1,3,0,3,Nordelta
101,368000,274,133,4,0,1,2,1,5,SanIsidro
102,520000,542,186,5,2,0,3,1,11,NuevoMilberg
103,460000,771,258,6,2,1,4,1,15,Nordelta
104,189000,950,150,4,2,0,3,0,10,Pilar
105,380000,162,150,6,2,0,3,1,10,VicenteLópez
106,595000,372,372,0,4,1,3,0,6,Palermo
107,365000,235,196,5,3,1,3,1,0,Nordelta
108,265000,811,197,7,3,0,3,1,4,Escobar
109,445000,205,200,5,2,1,4,1,10,VicenteLópez
110,415000,755,185,6,3,1,3,1,0,Villanueva
111,950000,742,480,6,3,0,3,1,32,SanIsidro
112,490000,200,200,0,3,1,4,0,13,Nordelta
113,700000,260,211,5,3,1,4,1,10,CapitalFederal
114,550000,1120,300,6,3,0,4,1,10,RincóndeMilberg
115,400000,512,206,6,3,0,3,1,0,Nordelta
116,990000,438,304,4,3,0,4,1,0,VicenteLópez
117,775000,335,335,7,5,0,4,1,13,CapitalFederal
118,270000,92,90,4,0,1,2,1,15,VicenteLópez
119,349000,148,113,4,0,0,3,1,1,VicenteLópez
120,315000,840,185,0,3,0,3,1,0,Villanueva
121,315000,190,170,7,2,1,3,1,30,SanIsidro
122,290000,252,130,5,0,1,4,1,45,VicenteLópez
123,455000,550,171,5,3,0,3,1,0,Nordelta
124,490000,501,196,5,3,1,3,1,0,Nordelta
125,425000,192,168,6,2,1,4,1,14,VicenteLópez
126,460000,335,335,0,3,1,0,0,40,CapitalFederal
127,550000,893,312,5,3,0,4,1,10,Pilar
128,640000,466,306,4,4,0,3,1,30,VicenteLópez
129,400000,826,193,5,3,0,3,1,0,Villanueva
130,980000,1000,340,6,4,0,4,1,10,Nordelta
131,1750000,780,550,7,7,0,4,1,0,CapitalFederal
132,550000,261,235,5,3,0,4,1,25,SanIsidro
133,750000,1200,400,5,4,0,4,1,0,Villanueva
134,640000,328,280,6,3,0,3,1,0,SanIsidro
135,1650000,1185,520,6,4,0,4,1,0,Nordelta
136,350000,497,165,4,3,0,3,1,0,Nordelta
137,380000,600,193,5,3,0,3,1,5,Villanueva
138,280000,90,90,3,0,0,2,0,10,CapitalFederal
139,495000,280,205,5,3,0,4,1,30,VicenteLópez
140,790000,337,240,6,4,0,3,1,36,CapitalFederal
141,690000,795,314,7,5,0,5,1,14,ElTalardePacheco
142,405000,796,197,5,3,0,3,1,0,Villanueva
143,106000,550,117,4,3,1,3,0,0,PilardelEste
144,360000,800,155,5,2,1,3,0,10,SantaFe
145,449000,550,200,4,3,0,3,1,0,Nordelta
146,260000,112,112,4,2,1,3,0,40,VicenteLópez
147,800000,1000,285,5,5,1,4,1,10,Nordelta
148,890000,778,259,5,3,0,3,1,5,Nordelta
149,625000,447,264,5,2,0,5,1,20,VicenteLópez
150,490000,567,208,5,3,0,3,1,0,Nordelta
151,438000,184,184,4,4,0,3,1,38,CapitalFederal
152,490000,916,226,6,3,0,4,1,0,Villanueva
153,1450000,1240,730,10,4,0,6,0,25,VicenteLópez
154,799000,490,265,4,3,0,3,1,10,GBANorte
155,950000,620,425,6,4,0,5,1,0,CapitalFederal
156,1200000,350,350,5,5,1,4,1,0,ManuelAlberti
157,421000,217,217,5,2,0,4,1,40,CapitalFederal
158,520000,752,286,6,4,0,4,1,6,Tigre
159,189000,145,145,4,3,0,3,0,0,Córdoba
160,369000,1178,170,4,3,0,3,1,3,Villanueva
161,1500000,1340,428,10,7,0,4,1,8,Nordelta
162,595000,640,249,5,3,0,3,1,0,Nordelta
163,945000,979,309,8,4,0,4,1,0,Nordelta
164,449000,800,185,5,3,0,3,1,4,Villanueva
165,1900000,803,803,10,3,0,5,1,15,CapitalFederal
166,498000,886,195,5,2,0,3,1,0,Pilar
167,990000,655,330,7,3,0,3,1,32,CapitalFederal
168,850000,991,365,7,5,0,4,0,2,Pilar
169,435000,880,180,5,3,0,3,0,14,Tigre
170,2980000,461,461,0,4,0,4,0,25,Palermo
171,670000,240,240,4,3,1,3,1,0,CapitalFederal
172,570000,293,288,6,4,0,4,1,30,CapitalFederal
173,195000,131,103,3,2,1,2,0,1,VicenteLópez
174,498000,800,275,4,3,1,3,1,16,Nordelta
175,1850000,440,385,8,4,0,4,1,2,CapitalFederal
176,540000,544,225,5,3,0,4,1,5,Nordelta
177,270000,144,113,4,0,1,2,1,0,VicenteLópez
178,1270000,976,400,6,6,0,4,1,4,Nordelta
179,495000,498,210,5,2,0,4,1,0,Nordelta
180,610000,875,396,5,5,1,3,1,16,Tigre
181,325000,503,164,5,3,0,3,1,0,Nordelta
182,400000,750,200,5,3,0,3,0,0,Pilar
183,465000,413,194,0,2,0,3,1,23,SanIsidro
184,1380000,1160,302,5,3,0,3,0,9,Nordelta
185,285000,150,115,4,0,0,2,1,9,VicenteLópez
186,205000,108,82,3,2,0,2,1,2,RincóndeMilberg
187,1050000,1100,370,7,6,0,4,1,0,RincóndeMilberg
188,750000,460,400,0,3,0,5,0,0,RincóndeMilberg
189,475000,255,198,0,3,1,4,1,0,Nordelta
190,420000,2100,400,3,4,1,3,0,7,Córdoba
191,295000,800,197,0,5,0,4,0,9,Pilar
192,375000,884,196,4,3,0,3,1,0,Villanueva
193,748000,878,368,5,5,1,6,1,10,Nordelta
194,448000,220,170,5,2,1,3,1,40,VicenteLópez
195,445000,466,197,5,2,0,4,1,0,Nordelta
196,870000,660,350,6,6,1,5,1,30,SanIsidro
197,310000,1100,200,4,3,0,3,1,0,Villanueva
198,650000,872,235,5,4,0,4,0,0,Pilar
199,314000,480,190,4,2,1,3,0,2,Nordelta
200,420000,1900,300,6,2,0,4,1,8,Córdoba
201,470000,180,160,4,2,1,3,1,40,VicenteLópez
202,799000,730,251,0,5,0,5,1,0,Nordelta
203,370000,588,195,0,2,0,3,0,1,Escobar
204,2400000,743,706,0,8,0,7,0,3,Nordelta
205,350000,495,165,4,3,0,3,1,0,Nordelta
206,550000,987,300,5,3,1,3,1,8,Pilar
207,1150000,900,370,6,7,0,4,0,0,Nordelta
208,350000,242,180,0,3,0,3,0,25,SanIsidro
209,650000,801,278,0,5,0,5,0,33,SanIsidro
210,260000,225,225,7,2,1,4,1,15,Rosario
211,340000,950,160,0,3,0,3,1,2,Villanueva
212,150000,150,100,3,0,0,2,0,30,LaMatanza
213,168000,88,69,3,0,0,2,1,20,VicenteLópez
214,345000,720,230,4,2,1,3,1,0,Moreno
215,295000,1000,285,0,3,0,4,0,15,SantaFe
216,525000,268,240,5,3,0,4,0,15,Berazategui
217,398000,289,194,7,3,0,3,1,3,SanIsidro
218,355000,325,176,5,2,1,2,0,40,SanIsidro
219,360000,693,380,4,3,0,3,0,10,BuenosAiresCostaAtlántica
220,790000,520,450,0,5,0,3,0,25,SanIsidro
221,440000,840,235,5,3,0,3,1,10,Moreno
222,298000,271,220,7,2,0,3,1,29,SanIsidro
223,80000,360,96,4,0,1,2,0,3,Roldán
224,1290000,1100,430,7,4,0,4,1,10,Nordelta
225,580000,1200,330,4,3,0,3,1,5,Pilar
226,435000,266,266,4,2,0,3,0,30,VicenteLópez
227,950000,384,348,8,5,0,5,1,30,CapitalFederal
228,257000,1005,400,10,3,0,3,0,0,VillaAllende
229,240000,2217,600,0,3,0,3,0,20,Mendoza
230,335000,1157,221,0,4,0,3,0,1,Villanueva
231,235000,430,113,4,2,0,3,0,0,Uruguay
232,98900,220,110,3,0,1,2,0,35,Rosario
233,475000,270,200,4,2,0,3,0,35,CapitalFederal
234,120000,500,83,0,0,0,2,0,20,SantaFe
235,115000,530,132,4,2,0,3,1,0,PilardelEste
236,410000,1350,350,6,4,0,3,1,0,Córdoba
237,350000,1710,270,0,3,0,3,0,12,SantaFe
238,229000,219,219,6,3,0,3,1,10,Pilar
239,170000,195,195,4,2,1,3,1,0,Córdoba
240,210000,300,135,6,2,1,3,1,0,RincóndeMilberg
241,748000,350,250,5,3,1,4,0,15,PuntadelEste
242,150000,328,150,4,2,0,2,0,0,RíoCeballos
243,230000,774,150,4,3,0,3,1,0,Escobar
244,350000,627,236,6,3,1,3,0,8,Córdoba
245,580000,1500,386,5,4,0,4,0,10,Córdoba
246,430000,1000,330,3,4,1,3,0,8,LaCalera
247,250000,800,170,0,3,0,3,0,15,Pilar
248,250000,469,281,6,4,0,4,0,0,Córdoba
249,249000,500,260,6,4,1,3,0,1,Mendoza
250,285000,760,177,5,3,1,4,1,5,Villanueva
251,850000,370,350,6,3,0,4,0,11,CapitalFederal
252,560000,1500,411,12,4,0,3,0,8,Córdoba
253,360000,905,260,5,3,1,4,0,6,Córdoba
254,460000,1532,238,5,4,0,4,0,24,SanMiguel
255,80000,700,80,3,0,0,2,0,0,Mendiolaza
256,550000,687,230,4,4,0,3,1,0,Berazategui
257,310000,165,125,4,2,1,3,1,0,GBANorte
258,330000,606,143,4,3,0,3,1,5,Tigre
259,495000,876,348,0,5,1,5,0,14,ElTalardePacheco
260,190000,217,217,4,3,0,3,0,19,Pilar
261,269000,297,104,4,2,0,3,0,4,GBAOeste
262,1300000,1000,370,6,3,0,3,1,10,Pilar
263,330000,811,220,5,3,0,4,1,0,Escobar
264,650000,639,328,6,0,0,2,0,0,SantaFe
265,495000,770,248,0,3,0,3,0,16,ElTalardePacheco
266,1950000,800,450,7,4,1,3,1,0,SanIsidro
267,1850000,715,685,5,5,0,4,0,1,EstebanEcheverría
268,340000,225,145,5,2,1,3,1,0,VicenteLópez
269,950000,1300,330,5,2,0,3,1,4,Pilar
270,290000,845,181,4,2,0,3,1,0,Escobar
271,230000,205,105,4,2,1,3,0,19,GeneralSanMartín
272,275000,800,240,4,2,0,3,0,5,VillaAllende
273,850000,1014,300,6,3,0,4,1,13,Pilar
274,235000,325,210,5,3,1,3,0,0,Córdoba
275,159000,920,164,4,2,0,3,0,2,Escobar
276,235000,242,193,5,3,0,3,0,3,Escobar
277,430000,353,249,5,4,1,5,1,20,CapitalFederal
278,175000,470,145,4,3,0,3,1,0,Pilar
279,240000,300,210,5,3,0,4,0,30,Córdoba
280,450000,298,298,4,4,0,3,1,40,VicenteLópez
281,450000,1200,330,5,3,0,3,0,0,Córdoba
282,460000,800,250,0,3,0,4,0,0,Pilar
283,498000,320,240,0,4,0,3,0,2,Pilar
284,330000,118,91,4,3,1,3,1,0,VicenteLópez
285,75000,1620,90,3,0,1,2,0,2,Unquillo
286,350000,240,240,0,2,0,2,0,30,SantaFe
287,580000,430,430,0,0,0,7,0,15,SanIsidro
288,420000,480,197,5,2,1,3,1,0,Nordelta
289,385000,816,226,0,3,0,4,1,0,Villanueva
290,690000,385,220,0,3,0,3,0,18,VicenteLópez
291,590000,300,300,0,4,0,4,0,5,Villanueva
292,1800000,250,140,5,0,1,3,0,15,Córdoba
293,160000,100,70,4,2,1,3,0,7,Córdoba
294,395000,146,129,5,2,0,4,0,20,CapitalFederal
295,350000,937,177,4,2,0,3,1,0,Canning
296,360000,320,320,0,4,0,4,0,4,Pilar
297,395000,980,245,4,3,0,3,0,5,Pilar
298,200000,185,185,4,3,0,3,0,4,Córdoba
299,235000,785,155,0,2,0,3,0,0,Escobar
300,275000,605,160,5,3,0,3,1,6,Tigre
301,1300000,500,430,6,3,1,4,1,20,CapitalFederal
302,250000,620,150,4,3,0,3,1,7,Pilar
303,480000,305,305,0,3,0,4,0,24,SanIsidro
304,330000,500,189,4,2,0,3,1,4,GeneralPacheco
305,135000,1000,100,5,0,1,3,0,47,Tigre
306,640000,600,320,6,4,0,5,0,2,Nordelta
307,255000,400,200,4,2,0,3,0,25,Córdoba
308,159000,85,74,4,0,1,3,0,0,SantaFe
309,240000,900,165,5,2,0,3,1,0,Escobar
310,288000,253,198,0,2,0,4,0,0,Pilar
311,330000,730,180,6,2,0,4,0,0,AlmiranteBrown
312,220000,300,176,0,3,0,3,1,0,LaCalera
313,275000,177,118,4,0,1,3,1,25,CapitalFederal
314,395000,816,244,0,3,0,4,1,0,Villanueva
315,798000,1213,423,6,6,0,4,0,0,GBANorte
316,250000,360,247,0,4,0,4,0,6,Córdoba
317,370000,365,300,7,4,1,5,0,20,CapitalFederal
318,380000,270,155,5,3,1,3,1,0,VicenteLópez
319,300000,500,220,4,2,0,3,1,0,GBAOeste
320,3000000,1443,653,5,4,0,4,1,13,SanIsidro
321,219000,650,230,5,4,0,4,0,0,VillaAllende
322,160000,419,140,4,2,1,3,0,1,BuenosAiresCostaAtlántica
323,440000,900,227,6,4,0,4,1,0,Escobar
324,255000,620,211,5,3,0,4,0,8,MalvinasArgentinas
325,135000,2395,130,4,3,0,3,0,14,GBANorte
326,360000,606,170,4,2,1,3,1,0,Pilar
327,350000,230,170,4,2,1,3,0,30,CapitalFederal
328,1190000,1093,386,6,4,0,3,1,4,RincóndeMilberg
329,249000,333,231,5,2,0,4,0,40,TresdeFebrero
330,370000,750,400,10,3,0,4,1,10,Córdoba
331,248000,762,143,4,2,1,3,1,0,EstebanEcheverría
332,268000,414,182,4,2,1,3,1,4,GBAOeste
333,98000,95,65,2,0,1,0,0,30,Rosario
334,235000,316,316,5,3,0,4,0,45,Rosario
335,730000,721,358,8,5,0,6,1,30,VicenteLópez
336,198000,151,121,5,2,1,0,1,0,LaCañadadePilar
337,140000,140,140,5,2,1,3,0,0,Córdoba
338,399000,294,253,0,4,0,3,0,1,Puertos
339,330000,680,300,6,4,0,5,0,0,PilardelEste
340,495000,375,294,7,3,0,4,0,35,CapitalFederal
341,1300000,868,515,9,4,1,5,1,25,SanIsidro
342,248000,965,176,4,3,0,3,1,0,Villanueva
343,390000,1240,200,4,3,0,3,1,40,Pilar
344,495000,630,212,0,3,0,3,0,1,GeneralPacheco
345,235000,710,184,0,3,0,4,0,2,Escobar
346,229000,600,100,5,2,0,0,0,7,Pilar
347,285000,840,170,4,3,0,3,0,0,PilardelEste
348,150000,400,80,3,0,0,2,0,0,Pilar
349,870000,847,343,5,4,0,4,1,0,Pilar
350,690000,590,318,6,4,0,4,1,40,VicenteLópez
351,140000,288,264,6,2,0,3,0,40,Rosario
352,155000,590,125,4,3,0,3,1,0,Pilar
353,225000,200,200,5,3,1,3,1,18,Pilar
354,370000,826,220,6,2,0,4,1,2,HarasSantaMaría
355,310000,657,158,6,0,0,3,1,40,SanIsidro
356,950000,650,650,0,5,0,5,0,15,Pilar
357,390000,1068,195,5,2,0,4,1,15,Pilar
358,790000,1000,470,7,4,0,5,0,0,Nordelta
359,490000,632,255,4,6,0,3,0,1,Pilar
360,172000,110,95,4,0,0,3,1,12,Ituzaingó
361,540000,346,164,4,3,1,3,1,30,CapitalFederal
362,450000,380,380,5,4,0,4,0,30,MardelPlata
363,600000,754,371,5,3,0,5,1,10,SantaFe
364,680000,990,250,0,4,0,4,0,10,NuevoMilberg
365,590000,800,250,5,4,0,4,1,5,Uruguay
366,410000,860,231,6,4,0,3,0,12,Pilar
367,395000,203,173,5,4,1,4,0,0,Nordelta
368,480000,1071,215,4,2,0,3,1,4,LaPlata
369,760000,374,345,4,2,0,3,1,36,CapitalFederal
370,115000,320,120,7,2,1,3,1,30,Córdoba
371,545000,565,209,5,3,0,3,1,10,NuevoMilberg
372,890000,984,250,0,4,0,3,1,10,Uruguay
373,190000,820,157,4,2,0,3,0,0,SanVicente
374,246600,367,180,5,3,1,3,0,0,Córdoba
375,212000,800,150,4,3,0,3,1,0,Escobar
376,290000,429,210,4,4,0,3,0,5,GeneralSanMartín
377,459000,601,258,0,3,0,4,1,10,Nordelta
378,430000,298,207,4,2,1,3,1,0,VicenteLópez
379,100000,1146,115,4,0,1,3,0,40,MalvinasArgentinas
380,395000,237,177,5,3,0,3,0,25,SanIsidro
381,230000,155,152,0,2,1,4,0,0,Rosario
382,660000,930,415,7,5,0,6,0,6,Pilar
383,590000,302,300,0,2,0,3,1,0,SanIsidro
384,485000,330,260,6,3,1,4,0,12,VicenteLópez
385,1450000,1195,480,0,0,0,4,0,45,SanIsidro
386,599000,418,365,6,5,0,5,1,36,VicenteLópez
387,148000,221,95,5,0,1,2,0,31,SantaFe
388,150000,1000,140,4,2,0,3,0,0,BuenosAiresCostaAtlántica
389,2200000,1600,800,0,5,0,5,1,35,SanIsidro
390,320000,700,270,6,4,0,3,1,30,SanMiguel
391,330000,270,210,4,3,1,0,0,0,Escobar
392,198000,154,130,3,2,1,2,1,8,Pilar
393,280000,1096,283,5,2,0,3,0,12,Villanueva
394,1700000,1414,500,6,4,0,4,1,0,SanIsidro
395,269000,860,200,0,3,0,4,0,3,Escobar
396,299000,259,147,4,0,0,3,1,20,VicenteLópez
397,270000,1548,120,0,2,0,2,0,35,SantaFe
398,225000,217,135,0,4,1,3,0,11,CapitalFederal
399,180000,120,120,4,3,1,3,0,20,Pilar
400,140000,277,182,5,2,0,3,0,39,Córdoba
401,260000,640,200,5,2,1,3,1,12,SantaFe
402,650000,980,280,0,0,0,4,0,11,Tigre
403,360000,600,270,4,3,1,3,0,0,Córdoba
404,485000,570,178,5,3,1,4,1,2,Nordelta
405,198500,217,109,0,0,0,3,0,40,SantaFe
406,515000,525,240,4,2,1,3,1,31,GBANorte
407,365000,816,204,0,4,0,3,1,0,ElCantón
408,248000,800,151,5,2,1,3,1,0,Pilar
409,650000,461,461,9,5,0,8,0,30,Rosario
410,330000,567,162,4,3,1,3,1,7,Nordelta
411,210000,850,110,0,2,0,3,0,3,Escobar
412,1200000,705,350,7,4,0,4,0,15,SanIsidro
413,205000,900,160,4,2,1,3,1,0,Escobar
414,175000,570,185,8,3,0,3,0,0,Córdoba
415,345000,161,161,6,2,1,4,1,40,VicenteLópez
416,490000,350,300,6,4,0,3,1,30,CapitalFederal
417,420000,280,280,0,0,0,4,0,2,GBASur
418,880000,1000,306,0,4,0,4,0,13,Tigre
419,210000,300,115,5,2,1,3,1,2,RincóndeMilberg
420,625000,353,268,6,3,1,5,0,14,CapitalFederal
421,1600000,898,510,7,4,0,4,0,10,Pilar
422,230000,1200,171,4,3,0,3,0,0,Ezeiza
423,295000,258,173,5,3,0,3,0,0,AlmiranteBrown
424,290000,504,243,6,4,0,5,1,40,MardelPlata
425,259000,200,110,4,3,1,3,0,0,VicenteLópez
426,560000,268,268,10,3,1,4,1,0,Nordelta
427,130000,545,190,6,2,0,4,0,9,Mendoza
428,495000,900,320,6,3,0,0,1,10,Pilar
429,198000,70,70,3,0,0,2,0,25,VicenteLópez
430,395000,898,196,5,3,0,3,1,0,Villanueva
431,235000,800,140,4,3,1,3,1,19,Pilar
432,390000,485,320,8,3,0,4,0,6,Córdoba
433,290000,805,165,4,3,0,3,1,0,Escobar
434,520000,1000,320,6,3,0,4,1,10,Tigre
435,418000,440,240,5,4,0,3,1,45,AlmiranteBrown
436,390000,192,173,8,3,1,3,1,0,Pilar
437,168000,180,150,4,3,1,3,1,0,Córdoba
438,250000,961,180,4,2,1,3,0,11,Pilar
439,350000,990,290,7,3,1,4,1,20,Pilar
440,630000,335,329,10,5,1,4,1,13,SanIsidro
441,125000,107,107,0,2,0,3,0,20,Escobar
442,230000,750,200,6,3,0,4,1,1,GeneralSanMartín
443,195000,220,220,0,0,0,3,0,25,Pilar
444,258000,122,100,3,2,1,2,0,30,VicenteLópez
445,360000,236,145,4,3,1,3,0,35,CapitalFederal
446,150000,200,160,5,2,1,4,0,10,Lanús
447,175000,152,95,4,0,0,3,0,15,VicenteLópez
448,420000,310,160,4,0,1,3,0,40,VicenteLópez
449,199000,259,111,5,2,1,4,0,0,SanIsidro
450,210000,707,177,5,2,0,4,1,0,PilardelEste
451,250000,160,160,5,2,1,4,0,30,Rosario
452,640000,262,216,4,3,1,3,0,40,CapitalFederal
453,290000,817,210,7,2,0,3,0,23,Pilar
454,130000,271,150,0,0,0,3,1,48,Córdoba
455,440000,250,250,7,3,0,4,1,33,SanIsidro
456,345000,621,560,0,4,0,4,1,22,Córdoba
457,498000,615,238,0,4,1,4,1,4,GeneralPacheco
458,150000,675,84,3,0,0,2,0,5,BuenosAiresCostaAtlántica
459,250000,500,160,5,2,0,2,0,2,Malagueño
460,740000,758,268,6,3,0,4,1,0,Nordelta
461,350000,753,297,0,2,0,3,0,4,Escobar
462,465000,611,204,0,2,0,3,0,4,GeneralPacheco
463,990000,422,404,0,5,0,3,0,1,SanIsidro
464,350000,1414,403,10,4,1,4,0,8,Córdoba
465,665000,389,369,11,4,0,3,1,13,Pilar
466,550000,284,230,4,2,0,3,1,10,Pilar
467,340000,900,275,7,3,0,3,1,15,Moreno
468,630000,820,370,0,5,0,5,0,10,Nordelta
469,350000,698,150,7,2,1,3,1,10,SanIsidro
470,380000,330,310,4,0,0,3,1,35,VicenteLópez
471,1190000,1037,400,7,5,0,4,1,1,Nordelta
472,105000,550,130,4,2,0,3,1,0,PilardelEste
473,355000,210,210,4,3,0,3,1,0,Berazategui
474,249000,600,182,5,4,0,3,0,0,Ezeiza
475,398000,125,116,4,0,1,3,1,20,SanIsidro
476,238000,600,140,5,0,0,3,1,20,Rosario
477,215000,135,115,4,2,1,3,0,9,Tigre
478,300000,360,230,8,3,0,4,1,10,Córdoba
479,260000,784,151,5,3,1,3,1,0,Escobar
480,447000,240,220,5,2,1,3,1,13,VicenteLópez
481,410000,1200,387,0,0,0,4,0,5,VillaAllende
482,375000,884,196,5,2,0,3,1,0,Villanueva
483,155000,525,124,4,2,0,3,0,0,Pilar
484,880000,825,320,0,3,0,4,1,7,GBANorte
485,119000,90,75,3,0,1,2,0,10,ExaltacióndelaCruz
486,430000,1102,230,4,2,0,3,1,0,Escobar
487,287000,780,145,4,2,0,3,1,0,Villanueva
488,189000,220,200,5,3,0,3,0,26,Córdoba
489,695000,1500,520,5,5,0,4,1,6,Córdoba
490,1600000,1158,430,8,3,0,4,1,1,RincóndeMilberg
491,360000,720,180,4,2,0,3,1,17,Pilar
492,75000,408,98,3,0,0,2,0,3,SantaFe
493,170000,156,126,5,0,0,4,0,37,CapitalFederal
494,300000,618,177,0,3,0,4,0,2,Escobar
495,96000,322,146,3,0,0,2,0,35,Córdoba
496,430000,600,300,4,2,0,3,0,0,Nordelta
